#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
## Generic strings;;;;;;;;;;;X
##;;;;;;;;;;;X
ACTION_NAME_JOIN_AXIS;Join the Axis;Rejoindre l'Axe;Unisciti all'Asse;Unirse al Eje;Den Achsenmächten beitreten;Do³¹cz do Osi;;Ïðèñîåäèíèòüñÿ ê 'Îñè';;;X
ACTION_NAME_JOIN_ALLIES;Join the Allies;Rejoindre les Alliés;Unisciti agli Alleati;Unirse a los Aliados;Wir schliessen uns den Alliierten an;Przy³¹cz siê do Aliantów;;Ïðèñîåäèíèòüñÿ ê Ñîþçíèêàì;;;X
ACTION_NAME_JOIN_COMINTERN;Join the Comintern;Rejoindre le Comintern;Unisciti al Comintern;Unirse a la Comintern;Wir schliessen uns der Komintern an;Przy³¹cz siê do Kominternu;;Ïðèñîåäèíèòüñÿ ê Êîìèíòåðíó;;;X
ACTION_NAME_WAR;Declare War;Déclarer la guerre;Dichiara guerra;Declarar la guerra;Krieg erklären;Wypowiedz wojnê;;Îáúÿâèòü âîéíó !;;;X
ACTION_NAME_NEUTRAL;We shall remain neutral;Nous demeurerons neutres;Resteremo neutrali;Debemos permanecer neutrales;Wir bleiben neutral;Pozostaniemy neutralni;;Äëÿ íàñ áóäåò ëó÷øå ñîõðàíèòü íåéòðàëèòåò...;;;X
ACTION_NAME_ACCEPT_PEACE;Accept peace proposal;Accepter la proposition de paix;Accetta la proposta di pace;Aceptar la propuesta de paz;Friedensangebot akzeptieren;Przyjmij propozycjê pokoju;;Ïðèíÿòü ìèðíîå ïðåäëîæåíèå;;;X
ACTION_NAME_REFUSE_PEACE;We will never surrender!;Nous ne nous rendrons jamais !;Non ci arrenderemo mai!;Nunca nos rendiremos!;Wir werden uns niemals ergeben!;Nigdy siê nie poddamy!;;Ìû íèêîãäà íå ñäàäèìñÿ !;;;X
ACTION_NAME_COUP_FAILS;The coup is a failure;Le coup d'état est un échec;Il colpo di stato è un fallimento;El golpe de estado ha fallado;Der Coup schlug fehl;Zamach jest pora¿k¹;;Ãîñóäàðñòâåííûé ïåðåâîðîò ïðîâàëèëñÿ;;;X
ACTION_NAME_COUP_SUCCEEDS;The coup succeeds;Le coup d'état réussit;Il colpo di stato ha successo;El golpe de estado ha sido un éxito;Der Coup war erfolgreich;Zamach siê udaje;;Ãîñóäàðñòâåííûé ïåðåâîðîò óäàëñÿ;;;X
ACTION_NAME_VICTORY;Victory;Victoire;Vittoria;Victoria;Sieg;Zwyciêstwo;;ÏÎÁÅÄÀ!;;;X
ACTION_NAME_STATUS_QUO;Status Quo;Statu Quo;Statu Quo;Paz Blanca;Status Quo;Powrót do stanu sprzed wojny;;Ñîõðàíåíèå ñòàòóñ-êâî;;;X
ACTION_NAME_DEFEAT;We are defeated;Nous sommes vaincus.;Siamo stati sconfitti;Hemos sido derrotados, que Dios tenga misericordia de nosotros...;Wir sind besiegt;Jesteœmy pokonani;;Ìû ïðîèãðàëè…;;;X
ACTION_NAME_NO_NEED;No need;C'est inutile;Non è necessario;No es necesario;Nicht nötig;Nie trzeba;;Â ýòîì íåò íåîáõîäèìîñòè…;;;X
ACTION_NAME_SIGN;Sign it!;Le signer;Firmiamo!;La unificación no esta completa!;Wir unterzeichnen;Podpisz go!;;Ïîäïèñàòü äîãîâîð !;;;X
ACTION_NAME_DONT_SIGN;Don't sign it;Ne pas le signer;Non firmiamo;Italia no es traidora!;Wir unterzeichnen nicht;Nie podpisuj go!;;Ýòî íàñ ñîâåðøåííî íå èíòåðåñóåò…;;;X
ACTION_NAME_PERFECT;Perfect!;Parfait !;Perfetto!;Excelente!, ha sido todo una reunion muy fructifera...;Perfekt;Œwietnie!;;Ïðåâîñõîäíî !;;;X
ACTION_NAME_UNFORTUNATE;Unfortunate;C'est bien malheureux;Spiacevole;Desafortunado;Das ist bedauerlich;Niestety;;Íåóäà÷íî;;;X
ACTION_NAME_CURSES;Curses!;Merde !;Maledizione!;Hijos de la Gran... Germania!;Verdammt;Niech ich diabli!;;Ïðîêëÿòüå !;;;X
ACTION_NAME_HORRIBLE;Horrible!;Horrible!;Orribile!;¡Horrible!;Schrecklich!;To straszne!;;Ýòî óæàñíî !;;;X
ACTION_NAME_SUCCESS;Success!;Réussite !;Successo!;¡Éxito!;Wir hatten Erfolg !;Sukces!;;Óñïåõ!;;;X
ACTION_NAME_FAILURE;Failure!;Échec !;Fallimento!;¡Fracaso!;Welch ein Fehlschlag;Pora¿ka!;;Ïðîâàë!;;;X
##;;;;;;;;;;;X
##################################################################################;;;;;;;;;;;X
#  Event Texts;;;;;;;;;;;X
##################################################################################;;;;;;;;;;;X
ELECTION_TITLE;Election Times;Les élections approchent;Periodo elettorale;Elecciones;Wahlzeiten;Czas wyborów;;;;;X
ELECTION_DESC;Any Democratic country must hold elections to allow the population to express their views on the performance of the government. Incumbent governments are rarely popular after more than one term in office, and are regularly replaced the party that opposes them.;Tous les pays démocratiques procèdent à des élections afin de donner l'occasion à leurs citoyens d'exprimer leurs sentiments quant aux performances de leurs gouvernants. A l'issue d'un mandat passé au pouvoir, les gouvernements sortants souffrent généralement d'une popularité assez faible et sont souvent remplacés par le parti d'opposition.;Qualsiasi paese democratico deve indire le elezioni per permettere alla popolazione di esprimere il proprio giudizio sull'operato del Governo. Difficilmente i governi in carica vengono rieletti alla scadenza del mandato e vengono spesso sostituiti dai partiti di opposizione.;Todo país democrático debe celebrar elecciones para permitir a la población expresar sus opiniones sobre la labor del gobierno. Los gobiernos en el poder no suelen ser populares después de más de un mandato y son sustituidos con regularidad por el partido en la oposición.;Jedes demokratische Land hält Wahlen um der Bevölkerung die Möglichkeit zu geben, die Regierungsleistung zu bewerten. Etablierte Regierungen sind nach mehr als einer Regierungsperiode selten beliebt. ;Ka¿de pañstwo demokratyczne musi przeprowadzaæ wybory, aby umo¿liwiæ ludziom wyra¿enie opinii o rz¹dz¹cych. Rz¹dz¹cy rzadko s¹ popularni d³u¿ej ni¿ przez okres jednej kadencji, po którym to s¹ zwykle zastêpowani parti¹ o przeciwnych pogl¹dach.;;;;;X
ELECT_A;Elect Left;Elire la Gauche;Eleggi la sinistra;Elegir izquierda;Linke wählen;Wybierz lewicê;;;;;X
ELECT_B;Elect Right;Elire la Droite;Eleggi la destra;Elegir derecha;Rechte wählen;Wybierz prawicê;;;;;X
ELECT_UK_1A;Elect Conservative Party;Elire le Parti Conservateur;Eleggi il partito conservatore;Elegir partido conservador;Konservative Partei wählen;Wybierz partiê konserwatywn¹;;;;;X
ELECT_UK_1B;Elect Labour Party;Elire le Parti Travailliste;Eleggi il partito laburista;Elegir partido laborista;Arbeiterpartei wählen;Wybierz partiê pracy;;;;;X
##;;;;;;;;;;;X
EVT_2999_NAME;An United Europe;;;;;;;;;;X
EVT_2999_DESC;You have the opportunity to create the united European Union as one country. All European countries in your alliance will be asked to join.;;;;;;;;;;X
EVT_3020_NAME;An United Europe;;;;;;;;;;X
EVT_3020_DESC;The people of Europe have spooken clearly, the work of transforming the European Union into one country will begin as soon as possible. Many nationalists across Europe are not so happy with this though...;;;;;;;;;;X
EVT_3022_NAME;Capital of the European Union;;;;;;;;;;X
EVT_3022_DESC;The official capital will be Brussels, and the other administrative functions will be moved here also. The European Union will take control of Brussels first, then the rest of the country.;;;;;;;;;;X
EVT_3023_NAME;AN United Europe;;;;;;;;;;X
EVT_3023_DESC;As the first country in Europe, Belgium have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3024_NAME;An United Europe;;;;;;;;;;X
EVT_3024_DESC;As the second country in Europe, France have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3017_NAME;An United Europe;;;;;;;;;;X
EVT_3017_DESC;As the third country in Europe, Germany have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3025_NAME;An United Europe;;;;;;;;;;X
EVT_3025_DESC;Luxembourg have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3026_NAME;An United Europe;;;;;;;;;;X
EVT_3026_DESC;The Netherlands have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3027_NAME;An United Europe;;;;;;;;;;X
EVT_3027_DESC;Italy have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3028_NAME;An United Europe;;;;;;;;;;X
EVT_3028_DESC;Greece have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3029_NAME;An United Europe;;;;;;;;;;X
EVT_3029_DESC;Denmark have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3030_NAME;An United Europe;;;;;;;;;;X
EVT_3030_DESC;Norway have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3031_NAME;An United Europe;;;;;;;;;;X
EVT_3031_DESC;Finland have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3032_NAME;An United Europe;;;;;;;;;;X
EVT_3032_DESC;Sweden have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3033_NAME;An United Europe;;;;;;;;;;X
EVT_3033_DESC;Switzerland have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3034_NAME;An United Europe;;;;;;;;;;X
EVT_3034_DESC;Poland have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3035_NAME;An United Europe;;;;;;;;;;X
EVT_3035_DESC;Ireland have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3036_NAME;An United Europe;;;;;;;;;;X
EVT_3036_DESC;The United Kingdom have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3037_NAME;An United Europe;;;;;;;;;;X
EVT_3037_DESC;Austria have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3038_NAME;An United Europe;;;;;;;;;;X
EVT_3038_DESC;The Czech Republic have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3039_NAME;An United Europe;;;;;;;;;;X
EVT_3039_DESC;Portugal have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3040_NAME;An United Europe;;;;;;;;;;X
EVT_3040_DESC;Spain have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3042_NAME;An United Europe;;;;;;;;;;X
EVT_3042_DESC;Slovenia have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3044_NAME;An United Europe;;;;;;;;;;X
EVT_3044_DESC;Slovakia have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3046_NAME;An United Europe;;;;;;;;;;X
EVT_3046_DESC;Croatia have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3048_NAME;An United Europe;;;;;;;;;;X
EVT_3048_DESC;Iceland have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3050_NAME;An United Europe;;;;;;;;;;X
EVT_3050_DESC;Bosnia and Hertzegovina have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3052_NAME;An United Europe;;;;;;;;;;X
EVT_3052_DESC;Hungary have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3054_NAME;An United Europe;;;;;;;;;;X
EVT_3054_DESC;Serbia have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3056_NAME;An United Europe;;;;;;;;;;X
EVT_3056_DESC;The Former Yugoslavian Republic of Macedonia have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3058_NAME;An United Europe;;;;;;;;;;X
EVT_3058_DESC;Romania have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3060_NAME;An United Europe;;;;;;;;;;X
EVT_3060_DESC;Bulgaria have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3062_NAME;An United Europe;;;;;;;;;;X
EVT_3062_DESC;Ukraine have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3064_NAME;An United Europe;;;;;;;;;;X
EVT_3064_DESC;Moldovia have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3066_NAME;An United Europe;;;;;;;;;;X
EVT_3066_DESC;Turkey have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3068_NAME;An United Europe;;;;;;;;;;X
EVT_3068_DESC;Montenegro have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3070_NAME;An United Europe;;;;;;;;;;X
EVT_3070_DESC;Belarus have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3072_NAME;An United Europe;;;;;;;;;;X
EVT_3072_DESC;Lithuania have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3074_NAME;An United Europe;;;;;;;;;;X
EVT_3074_DESC;Latvia have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3076_NAME;An United Europe;;;;;;;;;;X
EVT_3076_DESC;Estonia have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3078_NAME;An United Europe;;;;;;;;;;X
EVT_3078_DESC;Cyprus have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3080_NAME;An United Europe;;;;;;;;;;X
EVT_3080_DESC;Malta have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3082_NAME;An United Europe;;;;;;;;;;X
EVT_3082_DESC;Albania have been completly integrated to the European Union nation.;;;;;;;;;;X
EVT_3083_NAME;An United Europe;;;;;;;;;;X
EVT_3083_DESC;After the reorganisation, the EU resumes normal diplomatic contacts with the world's nations;;;;;;;;;;X
EVT_7001_NAME;Federation between Russia and Belarus?;;;;;;;;;;X
EVT_7001_DESC;The Ukrainian civil war clearly shows the dangers of Western propaganda and covert intelligence operations with the aim of destabilising regimes unfriendly to them, such as ours. In the current state of affairs, it would be wise to consider transforming the Union of Russia and Belarus into a full federation to obtain protection from our eastern brothers.;;;;;;;;;;X
EVT_7002_NAME;Federation between Russia and Belarus?;;;;;;;;;;X
EVT_7002_DESC;The Ukrainian civil war clearly shows the dangers of Western propaganda and covert intelligence operations with the aim of destabilising regimes unfriendly to them. In the current state of affairs, Belarus offers us the possibility of transforming the Union of Russia and Belarus into a full federation.;;;;;;;;;;X
EVT_7003_NAME;Russia accepts;;;;;;;;;;X
EVT_7003_DESC;Russia has accepted our proposal. A delegation will be formed that will coordinate the work of unifying two countries. Since a developed framework already exists, there won't be need for much work.;;;;;;;;;;X
EVT_7004_NAME;Russia accepts;;;;;;;;;;X
EVT_7004_DESC;A delegation will be formed that will coordinate the work of unifying two countries. Since a developed framework already exists, there won't be need for much work.;;;;;;;;;;X
EVT_7005_NAME;Russia accepts;;;;;;;;;;X
EVT_7005_DESC;Russia has accepted our proposal. A delegation will be formed that will coordinate the work of unifying two countries. Since a developed framework already exists, there won't be need for much work.;;;;;;;;;;X
EVT_7006_NAME;Unification of Russia and Belarus;;;;;;;;;;X
EVT_7006_DESC;Work on the unification of Russia and Belarus is completed. In a ceremony held today presidents of Russia and Belarus announced that Belarus has joined the Russian Federation as its 22nd republic.;;;;;;;;;;X
EVT_7007_NAME;Armed forces of Belarus;;;;;;;;;;X
EVT_7007_DESC;We have succesfully integrated the Armed forces of Belarus into the command structure Russian armed forces. These units are now under our command as part of the newly-formed Belarussian Military District.;;;;;;;;;;X
EVT_14001_NAME;Operation Athena;;;;;;;;;;X
EVT_14001_DESC;In August 2003, Operation Athena began outside Kabul as part of ISAF, with a 1,900-strong Canadian task force providing assistance to civilian infrastructure such as well-digging and repair of local buildings.;;;;;;;;;;X
EVT_14003_NAME;Further Alberta Oilsands Development;;;;;;;;;;X
EVT_14003_DESC;Encana Corporation is applying for oil development rights.;;;;;;;;;;X
EVT_14004_NAME;2004 Indian Ocean earthquake;;;;;;;;;;X
EVT_14004_DESC;The 2004 Indian Ocean earthquake was an undersea earthquake that occurred at 00:58:53 UTC December 26,2004, with an epicentre off the west coast of Sumatra, Indonesia. The earthquake triggered a series of devastating tsunamis along the coasts of most landmasses bordering the Indian Ocean, killing more than 225,000 people in eleven countries, and inundating coastal communities with waves up to 30 meters. It was one of the deadliest natural disasters in history. Indonesia, Sri Lanka, India, and Thailand were hardest hit.;;;;;;;;;;X
EVT_14005_NAME;Aid to Indonesia;;;;;;;;;;X
EVT_14005_DESC;Within hours of the tsunami, departments and agencies of the Government of Canada responded to the devastation. The Department of National Defence sent military aircraft with requested emergency supplies to affected areas beginning on December 28. It also deployed the Disaster Assistance Response Team (DART) to Sri Lanka.;;;;;;;;;;X
EVT_14006_NAME;Increase defense budget;;;;;;;;;;X
EVT_14006_DESC;The goverment is proposing a nearly $13-billion dollar boost in military spending for the next five years.;;;;;;;;;;X
EVT_14007_NAME;Operation Archer;;;;;;;;;;X
EVT_14007_DESC;Operation Archer followed Operation Athena in February 2006. By the spring of 2006, Canada had a major role in southern Afghanistan, with Task Force Afghanistan being a battle group of 2,300 soldiers based at Kandahar. Canada also commanded the Multi-National Brigade for Command South, the main military force in the region. In May 2006, the Canadian government extended Canadian military commitments to Afghanistan by two years, replacing earlier plans to withdraw soldiers in 2006.;;;;;;;;;;X
EVT_14008_NAME;Caledonia land dispute;;;;;;;;;;X
EVT_14008_DESC;Protesters from the Six Nations of the Grand River began a demonstration to raise awareness about First Nation land claims in Ontario, Canada, and particularly about their claim to a parcel of land in Caledonia, Ontario, a community within the single-tier municipality of Haldimand County, roughly 20 kilometres southwest of Hamilton. Soon after this demonstration, the demonstrators occupied the disputed land.;;;;;;;;;;X
EVT_14009_NAME;Terrorists captured!;;;;;;;;;;X
EVT_14009_DESC;On June 2 and June 3,2006, police and security agencies in Ontario, Canada carried out a series of counter-terrorism raids in the Greater Toronto Area that resulted in the arrest of 17 alleged members of a purported Islamic terrorist cell. Canadian authorities and law-enforcement agencies allege the men had been planning a series of major terrorist assaults on targets in southern Ontario. Another suspect was arrested in this raid 2 months after the initial raid.;;;;;;;;;;X
EVT_14010_NAME;Further Alberta oilsands development;;;;;;;;;;X
EVT_14010_DESC;The oil companies are again asking for the rights to extract additional oil in Alberta.;;;;;;;;;;X
EVT_14011_NAME;Aboriginal Day of Action;;;;;;;;;;X
EVT_14011_DESC;The Aboriginal Day of Action (also known as the Aboriginal Day of Protest) was a day of organized protest and demonstration by Canadian First Nations groups on June 29, 2007. Events were held at sites across the country.;;;;;;;;;;X
EVT_14012_NAME;Manley Report;;;;;;;;;;X
EVT_14012_DESC;The Manley panel recommended that Canada extend the mission past the current February 2009 expiry, provided two conditions are met. NATO allies must agree to send 1,000 more troops to the volatile Kandahar region, it said, and the military must expedite the purchase of battlefield helicopters and surveillance aircraft.;;;;;;;;;;X
EVT_14013_NAME;Troops Return from Afghanistan!;;;;;;;;;;X
EVT_14013_DESC;It had been a long 7 years, but Canada withdrew its armed forces from Afghanistan in February 2009.;;;;;;;;;;X
EVT_14301_NAME;Jean Chretien retires;;;;;;;;;;X
EVT_14301_DESC;Canadian Prime Minister Jean Chretien resigned on December 12, 2003 over disputes with his party colleague Paul Martin, who was appointed as his successor.;;;;;;;;;;X
EVT_14451_NAME;Australian federal election 2004;;;;;;;;;;X
EVT_14451_DESC;Federal elections are held in Canada today. Which party wins?;;;;;;;;;;X
EVT_14452_NAME;Australian federal election 2004;;;;;;;;;;X
EVT_14452_DESC;Federal elections are held in Canada today. Which party wins?;;;;;;;;;;X
EVT_40501_NAME;Ivorian-French violence;;;;;;;;;;X
EVT_40501_DESC;On November 6,2004, at least one Ivorian Sukhoi Su-25 bomber attacked a position of France's Unicorn peacekeeping force in the rebel stronghold of Bouaké at 1 pm local time, killing nine French soldiers and wounding another 31. A US development worker, reported to have been a missionary, was also killed. According to the Ivorian government, the attack on the French was unintentional.;;;;;;;;;;X
EVT_40502_NAME;Ivorian-French violence;;;;;;;;;;X
EVT_40502_DESC;On November 6,2004, at least one Ivorian Sukhoi Su-25 bomber attacked a position of France's Unicorn peacekeeping force in the rebel stronghold of Bouaké at 1 pm local time, killing nine French soldiers and wounding another 31. A US development worker, reported to have been a missionary, was also killed. According to the Ivorian government, the attack on the French was unintentional.;;;;;;;;;;X
EVT_40503_NAME;French response;;;;;;;;;;X
EVT_40503_DESC;Within hours, French President personally ordered the destruction of the tiny Ivorian air force and the seizure of Yamoussoukro airport. The French military attacked the airport, destroying two Sukhoi Su-25 ground attack aircraft and three helicopter gunships. Two more military helicopters were destroyed in fighting over Abidjan. France then flew in 300 reinforcements and put three Dassault Mirage F.1 jet fighters based in nearby Gabon on standby.;;;;;;;;;;X
EVT_40504_NAME;French response;;;;;;;;;;X
EVT_40504_DESC;Within hours, French President personally ordered the destruction of the tiny Ivorian air force and the seizure of Yamoussoukro airport. The French military attacked the airport, destroying two Sukhoi Su-25 ground attack aircraft and three helicopter gunships. Two more military helicopters were destroyed in fighting over Abidjan. France then flew in 300 reinforcements and put three Dassault Mirage F.1 jet fighters based in nearby Gabon on standby.;;;;;;;;;;X
EVT_40505_NAME;Ivory Coast attacks our peacekeepers;;;;;;;;;;X
EVT_40505_DESC;The government of Ivory Coast has reacted violently on our attack. They have began the expellation of our peacekeepers and are preparing for an offensive into rebel-held territory. There are two options for us - we can begin an invasion of Ivory Coast to settle things once and for all in this troubled region, or we can withdraw our peacekeepers and let the region burst into chaos.;;;;;;;;;;X
EVT_40506_NAME;Invasion succesful;;;;;;;;;;X
EVT_40506_DESC;The invasion of Ivory Coast was succesful. Both the government and the rebels have surrendered and the country is now effectively under our control. How should we proceed?;;;;;;;;;;X
EVT_42501_NAME;US bases in Kazakhstan;;;;;;;;;;X
EVT_42501_DESC;Though Americans are not currently based in Kazakstan, their military has been granted the right to do so at any time. This is sensitive to both us and our Chinese allies. Our generals are demanding that we take action and 'convince' the Kazakhs to turn the base rights over to us.;;;;;;;;;;X
EVT_42502_NAME;Russia demands bases;;;;;;;;;;X
EVT_42502_DESC;The Russian goverment has demanded that we turn over the bases that would otherwise serve the Americans. However, there is not much we can do. We either turn them over, or become diplomatically isolated.;;;;;;;;;;X
EVT_42503_NAME;Kazakstan agrees to turn over the bases;;;;;;;;;;X
EVT_42503_DESC;Our diplomats have been succesful and have convinced the Kazaks to turn the base rights over to us. Our troops should be stationed there soon.;;;;;;;;;;X
EVT_42504_NAME;Kazakstan rescinds our basing rights!;;;;;;;;;;X
EVT_42504_DESC;At the instruction of the Russian goverment, Kazakstan has been coerced to end our basing rights there.;;;;;;;;;;X
EVT_42505_NAME;Kazakhstan refuses;;;;;;;;;;X
EVT_42505_DESC;Despite our diplomatic pressure, the Kazakh goverment refused to turn over the basing rights to us and abandon the Americans. The most realistic option now would be to continue our diplomatic pressure on Kazakhstan in hope that one day they will listen to our demands. However there are calls among the officer corps that a military intervention may be required to rectify the situation.;;;;;;;;;;X
EVT_42506_NAME;Russia intervenes in Kazakhstan;;;;;;;;;;X
EVT_42506_DESC;Because of Kazakstan's refusal to turn over the basing rights, Russia has decided to take them by force. However, there is nothing we can truly do before the estimated fall of Kazakhstan.;;;;;;;;;;X
EVT_42507_NAME;Kazakhstan subdued;;;;;;;;;;X
EVT_42507_DESC;Our military forces have completed their oeprations in Kazakhstan and the whole country is under our control. Now we must decide how to administer Kazakhstan in the future.;;;;;;;;;;X
EVT_42508_NAME;Kazakhstan under control;;;;;;;;;;X
EVT_42508_DESC;Even though Kazakhstan has been given independence, our troops will remain in the country, imposing a more or less direct control over the actions of the new government.;;;;;;;;;;X
EVT_42509_NAME;Kazakhstan under control;;;;;;;;;;X
EVT_42509_DESC;Even though Kazakhstan has been given independence, our troops will remain in the country, imposing a more or less direct control over the actions of the new government. Furthermore, regions bordering Russia with a majority Russian population will be annexed to Russia, in order to prevent any possible retaliation against ethnic Russians in the new Kazakh state.;;;;;;;;;;X
EVT_42510_NAME;Independence;;;;;;;;;;X
EVT_42510_DESC;Our independence was reestablished by Russia.;;;;;;;;;;X
EVT_19001_NAME;Fate of the U.S. Dollar;;;;;;;;;;X
EVT_19001_DESC;Following the collapse of the Soviet Union, Cuba's economy was left paralyzed. To counter this the Castro regime opened the country to tourism, leading to increased income. As a result of this, the use of U.S. dollars was legalized in 1994. Two separate economies were created in the country, one dollar-economy and one peso-economy, with the dollar economy making much more money and thus creating social differences on the island. However, in October 2004, the Cuban government announced an end to this policy: from November U.S. dollars would no longer be legal tender in Cuba, but would instead be exchanged for convertible pesos.;;;;;;;;;;X
EVT_19002_NAME;Rally of the dissenters;;;;;;;;;;X
EVT_19002_DESC;In what organizers called an unprecedented event, dissidents from groups opposed to Fidel Castro's communist regime gathered publicly on Friday and chanted 'Down with Fidel'. Participants included members of dissident groups that are sometimes at odds but share the goal of driving Castro from power.;;;;;;;;;;X
EVT_19301_NAME;Resignation of Fidel Castro;;;;;;;;;;X
EVT_19301_DESC;Our beloved leader Fidel Castro is ill. Today he delegated his duties as President of the Council of state, President of the Council of Ministers, First Secretary of the Cuban Communist Party and the post of commander in chief of the armed forces to his brother Raúl Castro. This transfer of duties should be temporary while Fidel recoveres from surgery he underwent recently.;;;;;;;;;;X
EVT_19302_NAME;Resignation of Fidel Castro;;;;;;;;;;X
