#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
#;;;;;;;;;;;X
MDS_DESC;War on Terror (2003);;;Guerra del terror (2003);Krieg gegen den Terror (2003);;;;;;x
BEN_DESC;Benin,(formerly, Dahomey), officially the Republic of Benin, is a country in West Africa. It is bordered by Togo to the west, by Nigeria to the east and by Burkina Faso and Niger to the north. A majority of the population live on its small southern coastline on the Bight of Benin. The capital of Benin is Porto-Novo, but the seat of government is in Cotonou, the country's largest city. From the 17th to the 19th century, modern day Benin was ruled by the Kingdom of Dahomey. This region was referred to as the Slave Coast from as early as the 17th century due to the large number of slaves shipped to the New World during the Trans-Atlantic slave trade. After slavery was abolished, France took over the country and renamed it French Dahomey. In 1960, Dahomey gained full independence from France, bringing in a democratic government for the next 12 years. A Marxist-Leninist state called the People's Republic of Benin existed between 1972 and 1990. Many sources state this regime led to repression and the collapse of the economy. The Republic of Benin was formed in 1991 which brought in multiparty elections.;;;;;;;;;;x
BHU_DESC;Bhutan, officially the Kingdom of Bhutan, is a landlocked state in South Asia, located at the eastern end of the Himalayas and bordered to the south, east and west by the Republic of India and to the north by the People's Republic of China. Bhutan is separated from the nearby country of Nepal to the west by the Indian state of Sikkim, and from Bangladesh to the south by the Indian states of Assam and West Bengal. Bhutan existed as a patchwork of minor warring fiefdoms until the early 17th century, when the area was unified by Shabdrung Ngawang Namgyal, who fled religious persecution in Tibet and cultivated a separate Bhutanese identity. In the early 20th century, Bhutan came into contact with the British Empire, after which Bhutan continued strong bilateral relations with India upon its independence. In 2006, Business Week rated Bhutan the happiest country in Asia and the eighth-happiest in the world, based on a global survey.;;;;;;;;;;x
BLR_DESC;After seven decades as a constituent republic of the USSR, Belarus attained its independence in 1991. It has retained closer political and economic ties to Russia than any of the other former Soviet republics. Belarus and Russia signed a treaty on a two-state union on 8 December 1999 envisioning greater political and economic integration. Although Belarus agreed to a framework to carry out the accord, serious implementation has yet to take place.;;;;;;;;;;x
BOL_DESC;Bolivia, named after independence fighter Simon Bolivar, broke away from Spanish rule in 1825much of its subsequent history has consisted of a series of nearly 200 coups and counter-coups. Comparatively democratic civilian rule was established in 1982, but leaders have faced difficult problems of deep-seated poverty, social unrest, and illegal drug production. Current goals include attracting foreign investment, strengthening the educational system, resolving disputes with coca growers over Bolivia's counterdrug efforts, and waging an anticorruption campaign.;;;;;;;;;;x
BOS_DESC;Bosnia and Herzegovina's declaration of sovereignty in October 1991, was followed by a declaration of independence from the former Yugoslavia on 3 March 1992 after a referendum boycotted by ethnic Serbs. The Bosnian Serbs - supported by neighboring Serbia and Montenegro - responded with armed resistance aimed at partitioning the republic along ethnic lines and joining Serb-held areas to form a 'Greater Serbia.' In March 1994, Bosniaks and Croats reduced the number of warring factions from three to two by signing an agreement creating a joint Bosniak/Croat Federation of Bosnia and Herzegovina. On 21 November 1995, in Dayton, Ohio, the warring parties initialed a peace agreement that brought to a halt three years of interethnic civil strife (the final agreement was signed in Paris on 14 December 1995). The Dayton Agreement retained Bosnia and Herzegovina's international boundaries and created a joint multi-ethnic and democratic government. This national government was charged with conducting foreign, diplomatic, and fiscal policy. Also recognized was a second tier of government comprised of two entities roughly equal in size: the Bosniak/Croat Federation of Bosnia and Herzegovina and the Bosnian Serb-led Republika Srpska (RS). The Federation and RS governments were charged with overseeing most government functions. The Office of the High Representative (OHR) was established to oversee the implementation of the civilian aspects of the agreement. In 1995-96, a NATO-led international peacekeeping force (IFOR) of 60,000 troops served in Bosnia to implement and monitor the military aspects of the agreement. IFOR was succeeded by a smaller, NATO-led Stabilization Force (SFOR) whose mission was to deter renewed hostilities.;;;;;;;;;;x
BRA_DESC;Following three centuries under the rule of Portugal, Brazil became an independent nation in 1822. By far the largest and most populous country in South America, Brazil overcame more than half a century of military intervention in the governance of the country when in 1985 the military regime peacefully ceded power to civilian rulers. Brazil continues to pursue industrial and agricultural growth and development of its interior. Exploiting vast natural resources and a large labor pool, it is today South America's leading economic power and a regional leader. Highly unequal income distribution remains a pressing problem.;;;;;;;;;;x
BRU_DESC;Brunei, officially the Nation of Brunei, the Abode of Peace, is a sovereign state located on the north coast of the island of Borneo, in Southeast Asia. Apart from its coastline with the South China Sea, it is completely surrounded by the state of Sarawak, Malaysia, and it is separated into two parts by the Sarawak district of Limbang. It is the only sovereign state completely on the island of Borneo, with the remainder of the island belonging to Malaysia and Indonesia. Brunei's population was 401,890 in July 2011.;;;;;;;;;;x
BUL_DESC;The Bulgars, a Central Asian Turkic tribe, merged with the local Slavic inhabitants in the late 7th century to form the first Bulgarian state. In succeeding centuries, Bulgaria struggled with the Byzantine Empire to assert its place in the Balkans, but by the end of the 14th century the country was overrun by the Ottoman Turks. Northern Bulgaria attained autonomy in 1878 and all of Bulgaria became independent in 1908. Having fought on the losing side in both World Wars, Bulgaria fell within the Soviet sphere of influence and became a People's Republic in 1946. Communist domination ended in 1990, when Bulgaria held its first multiparty election since World War II and began the contentious process of moving toward political democracy and a market economy while combating inflation, unemployment, corruption, and crime. Today, reforms and democratization keep Bulgaria on a path toward eventual integration into the EU.;;;;;;;;;;x
BUR_DESC;Britain conquered Myanmar, formerly called Burma, over a period of 62 years (1824-1886) and incorporated it into its Indian Empire. Myanmar was administered as a province of India until 1937 when it became a separate, self-governing colonyindependence from the Commonwealth was attained in 1948. Gen. Ne Win dominated the government from 1962 to 1988, first as military ruler, then as self-appointed president, and later as political kingpin. Despite multiparty legislative elections in 1990 that resulted in the main opposition party - the National League for Democracy (NLD) - winning a landslide victory, the ruling junta refused to hand over power. NLD leader Aung San Suu Kyi was under house arrest from 1989 to 1995 and 2000 to 2002. Her supporters, as well as all those who promote democracy and improved human rights, are routinely harassed or jailed.;;;;;;;;;;x
CAL_DESC;The name California once referred to a large area of North America claimed by Spain that included much of modern-day Southwestern United States and the Baja California peninsula. Beginning in the late 18th century, the area known as Alta California, comprising the California territory north of the Baja Peninsula, was colonized by the Spanish Empire as part of New Spain. In 1821, Alta California became a part of Mexico following its successful war for independence. Shortly after the beginning of the Mexican-American War in 1846, a group of American settlers in Sonoma declared an independent California Republic in Alta California. Though its existence was short-lived, its flag became the precursor for California's current state flag. American victory in the war led to the Treaty of Guadalupe Hidalgo, in which Mexico ceded Alta California to the United States. Western areas of Alta California became the state of California, which was admitted as the 31st state on September 9, 1850. The California Gold Rush beginning in 1848 led to dramatic social and demographic change, with large scale immigration from the U.S. and abroad and an accompanying economic boom. Key developments in the early 20th century included the emergence of Los Angeles as the center of the American entertainment industry, and the growth of a large, state-wide tourism sector. The late 20th century saw the development of the technology and information sectors, punctuated by the growth of Silicon Valley. California's prosperous agricultural industry also emerged; at least half of the fresh fruit produced in the United States are now cultivated in California, and the state also leads in the production of vegetables. Other important contributors to its economy include aerospace, education, and manufacturing. If California were a country, it would be the eighth-largest economy in the world and the 34th most populous nation.;;;;;;;;;X
CAM_DESC;The former French Cameroon and part of British Cameroon merged in 1961 to form the present country. Cameroon has generally enjoyed stability, which has permitted the development of agriculture, roads, and railways, as well as a petroleum industry. Despite movement toward democratic reform, political power remains firmly in the hands of an ethnic oligarchy.;;;;;;;;;;x
CAN_DESC;A land of vast distances and rich natural resources, Canada became a self-governing dominion in 1867 while retaining ties to the British crown. Economically and technologically the nation has developed in parallel with the US, its neighbor to the south across an unfortified border. Canada's paramount political problem is meeting public demands for quality improvements in health care and education services after a decade of budget cuts. The issue of reconciling Quebec's francophone heritage with the majority anglophone Canadian population has moved to the back burner in recent yearssupport for separatism abated after the Quebec government's referendum on independence failed to pass in October of 1995.;;;;;;;;;;x
CHC_DESC;For centuries China stood as a leading civilization, outpacing the rest of the world in the arts and sciences, but in the 19th and early 20th centuries, the country was beset by civil unrest, major famines, military defeats, and foreign occupation. After World War II, the Communists under Mao Zedong established an autocratic socialist system that, while ensuring China's sovereignty and improved living standards vastly, imposed strict controls over everyday life and cost the lives of millions of people. After 1978, his successor Deng Xiaoping and other leaders focused on market-oriented economic development and by 2000 output had quadrupled. For much of the population, living standards have improved dramatically and the room for personal choice has expanded, yet political controls remain tight. As the technological and economic development in China continues in a rapid pace, many are beginning to call the 21st Century a 'chinese century'. But the road ahead is may yet be bumpy for China, as the United States and it's asian allies still maintains a large economic and military superiority over China. Can Beijing break the US hegemony over Asia?;;;;;;;;;;x
CHL_DESC;A three-year-old Marxist government was overthrown in 1973 by a dictatorial military regime led by Augusto Pinochet, who ruled until a freely elected president was installed in 1990. Sound economic policies, maintained consistently since the 1980s, have contributed to steady growth and have helped secure the country's commitment to democratic and representative government. Chile has increasingly assumed regional and international leadership roles befitting its status as a stable, democratic nation.;;;;;;;;;;x
CHI_DESC;In 1895, military defeat forced China to cede Taiwan to Japan. Taiwan reverted to Chinese control after World War II. Following the Communist victory on the mainland in 1949, 2 million Nationalists fled to Taiwan and established a government using the 1946 constitution drawn up for all of China. Over the next five decades, the ruling authorities gradually democratized and incorporated the native population within the governing structure. In 2000, Taiwan underwent its first peaceful transfer of power from the Nationalist to the Democratic Progressive Party. Throughout this period, the island prospered and became one of East Asia's economic 'Tigers.' The dominant political issues continue to be the relationship between Taiwan and China - specifically the question of eventual unification - as well as domestic political and economic reform.;;;;;;;;;;x
CMB_DESC;Most Cambodians consider themselves to be Khmers, whose Angkor Empire extended over much of Southeast Asia and reached its zenith between the 10th and 13th centuries. Subsequently, attacks by the Thai and Cham (from present-day Vietnam) weakened the empire ushering in a long period of decline. In 1863, the king of Cambodia placed the country under French protectionit became part of French Indochina in 1887. Following Japanese occupation in World War II, Cambodia became independent within the French Union in 1949 and fully independent in 1953. After a five-year struggle, Communist Khmer Rouge forces captured Phnom Penh in April 1975 and ordered the evacuation of all cities and townsat least 1.5 million Cambodians died from execution, enforced hardships, or starvation during the Khmer Rouge regime under Pol Pot. A December 1978 Vietnamese invasion drove the Khmer Rouge into the countryside, led to a 10-year Vietnamese occupation, and touched off almost 13 years of civil war. The 1991 Paris Peace Accords mandated democratic elections and a ceasefire, which was not fully respected by the Khmer Rouge. UN-sponsored elections in 1993 helped restore some semblance of normalcy and the final elements of the Khmer Rouge surrendered in early 1999. Factional fighting in 1997 ended the first coalition government, but a second round of national elections in 1998 led to the formation of another coalition government and renewed political stability.;;;;;;;;;;x
COL_DESC;Colombia was one of the three countries that emerged from the collapse of Gran Colombia in 1830 (the others are Ecuador and Venezuela). A 40-year insurgent campaign to overthrow the Colombian Government escalated during the 1990s, undergirded in part by funds from the drug trade. Although the violence is deadly and large swaths of the countryside are under guerrilla influence, the movement lacks the military strength or popular support necessary to overthrow the government. An anti-insurgent army of paramilitaries has grown to several thousand strong in recent years, challenging the insurgents for control of territory and the drug trade, and also the government's ability to exert its dominion over rural areas. While Bogota steps up efforts to reassert government control throughout the country, neighboring countries worry about the violence spilling over their borders.;;;;;;;;;;x
U85_DESC;Upon independence in 1960, the former French region of Middle Congo became the Republic of the Congo. A quarter century of experimentation with Marxism was abandoned in 1990 and a democratically elected government installed in 1992. A brief civil war in 1997 restored former Marxist President SASSOU-NGUESSO, but ushered in a period of ethnic unrest. Southern-based rebel groups agreed to a final peace accord in March 2003, but the calm is tenuous and refugees continue to present a humanitarian crisis. The Republic of Congo is one of Africa's largest petroleum producers with significant potential for offshore development.;;;;;;;;;;x
COS_DESC;Costa Rica is a Central American success story: since the late 19th century, only two brief periods of violence have marred its democratic development. Although still a largely agricultural country, it has expanded its economy to include strong technology and tourism sectors. The standard of living is relatively high. Land ownership is widespread.;;;;;;;;;;x
CRO_DESC;The lands that today comprise Croatia were part of the Austro-Hungarian Empire until the close of World War I. In 1918, the Croats, Serbs, and Slovenes formed a kingdom known after 1929 as Yugoslavia. Following World War II, Yugoslavia became a federal independent Communist state under the strong hand of Marshal Tito. Although Croatia declared its independence from Yugoslavia in 1991, it took four years of sporadic, but often bitter, fighting before occupying Serb armies were mostly cleared from Croatian lands. Under UN supervision, the last Serb-held enclave in eastern Slavonia was returned to Croatia in 1998.;;;;;;;;;;x
CUB_DESC;The native Amerindian population of Cuba began to decline after the European discovery of the island by Christopher Columbus in 1492 and following its development as a Spanish colony during the next several centuries. Large numbers of African slaves were imported to work the coffee and sugar plantations and Havana became the launching point for the annual treasure fleets bound for Spain from Mexico and Peru. Spanish rule was severe and exploitative and occasional rebellions were harshly suppressed. It was US intervention during the Spanish-American War in 1898 that finally overthrew Spanish rule. The subsequent Treaty of Paris established Cuban independence, which was granted in 1902 after a three-year transition period. Fidel Castro led a rebel army to victory in 1959his iron rule has held the regime together since then. Cuba's Communist revolution, with Soviet support, was exported throughout Latin America and Africa during the 1960s, 1970s, and 1980s. The country is now slowly recovering from a severe economic recession in 1990, following the withdrawal of former Soviet subsidies, worth $4 billion to $6 billion annually. Cuba portrays its difficulties as the result of the US embargo in place since 1961. Illicit migration to the US - using homemade rafts, alien smugglers, air flights, or via the southwest border - is a continuing problem.;;;;;;;;;;x
CYP_DESC;A former British colony, Cyprus received independence in 1960 following years of resistance to British rule. Tensions between the Greek Cypriot majority and Turkish Cypriot minority came to a head in December 1963, when violence broke out in the capital of Nicosia. Despite the deployment of UN peacekeepers in 1964, sporadic intercommunal violence continued forcing most Turkish Cypriots into enclaves throughout the island. In 1974, a Greek-sponsored attempt to seize the government was met by military intervention from Turkey, which soon controlled more than a third of the island. In 1983, the Turkish-held area declared itself the 'Turkish Republic of Northern Cyprus,' but it is recognized only by Turkey.;;;;;;;;;;x
CZE_DESC;Following the First World War, the closely related Czechs and Slovaks of the former Austro-Hungarian Empire merged to form Czechoslovakia. During the interwar years, the new country's leaders were frequently preoccupied with meeting the demands of other ethnic minorities within the republic, most notably the Sudeten Germans and the Ruthenians (Ukrainians). After World War II, a truncated Czechoslovakia fell within the Soviet sphere of influence. In 1968, an invasion by Warsaw Pact troops ended the efforts of the country's leaders to liberalize Communist party rule and create 'socialism with a human face.' Anti-Soviet demonstrations the following year ushered in a period of harsh repression. With the collapse of Soviet authority in 1989, Czechoslovakia regained its freedom through a peaceful 'Velvet Revolution.' On 1 January 1993, the country underwent a 'velvet divorce' into its two national components, the Czech Republic and Slovakia. The Czech Republic joined NATO in 1999.;;;;;;;;;;x
DEN_DESC;Once the seat of Viking raiders and later a major north European power, Denmark has evolved into a modern, prosperous nation that is participating in the general political and economic integration of Europe. It joined NATO in 1949 and the EEC (now the EU) in 1973. However, the country has opted out of certain elements of the European Union's Maastricht Treaty.;;;;;;;;;;x
DOM_DESC;Explored and claimed by Columbus on his first voyage in 1492, the island of Hispaniola became a springboard for Spanish conquest of the Caribbean and the American mainland. In 1697, Spain recognized French dominion over the western third of the island, which in 1804 became Haiti. The remainder of the island, by then known as Santo Domingo, sought to gain its own independence in 1821, but was conquered and ruled by the Haitians for 22 yearsit finally attained independence as the Dominican Republic in 1844. In 1861, the Dominicans voluntarily returned to the Spanish Empire, but two years later they launched a war that restored independence in 1865. A legacy of unsettled, mostly non-representative, rule for much of its subsequent history was brought to an end in 1966 when Joaquin Balaguer became president. He maintained a tight grip on power for most of the next 30 years when international reaction to flawed elections forced him to curtail his term in 1996. Since then, regular competitive elections have been held in which opposition candidates have won the presidency. The Dominican economy has had one of the fastest growth rates in the hemisphere over the past decade.;;;;;;;;;;x
ECU_DESC;The 'Republic of the Equator' was one of three countries that emerged from the collapse of Gran Colombia in 1830 (the others are Colombia and Venezuela). Between 1904 and 1942, Ecuador lost territories in a series of conflicts with its neighbors. A border war with Peru that flared in 1995 was resolved in 1999.;;;;;;;;;;x
