Name;ID;Country;Rank3Year;Rank2Year;Rank1Year;Rank0Year;IdealRank;MaxSkill;Traits;Skill;Experience;Loyalty;Type;Picture;StartYear;EndYear;Retirement Year;X
Lata;69032;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69032;2003;2030;2030;x
Surkov;69033;RUS;2003;2003;2100;2100;2;3;4;3;0;5;0;L69033;2003;2030;2030;x
Strygin;69034;RUS;2003;2003;2100;2100;2;3;0;3;0;5;0;L69034;2003;2030;2030;x
Maltenskiy;69035;RUS;2003;2003;2100;2100;2;1;0;1;0;5;0;L69035;2003;2030;2030;x
Sukharev;69036;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69036;2003;2030;2030;x
Golovchenko;69037;RUS;2003;2003;2100;2100;2;3;16;3;0;5;0;L69037;2003;2030;2030;x
Yusupov;69038;RUS;2003;2003;2100;2100;2;3;64;3;0;5;0;L69038;2003;2030;2030;x
Gerasimov;69039;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69039;2003;2030;2030;x
Kolesov;69040;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69040;2003;2030;2030;x
Khalipov;69041;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69041;2003;2030;2030;x
Kuznetsov;69042;RUS;2003;2003;2100;2100;2;1;4;1;0;5;0;L69042;2003;2030;2030;x
Beznasyuk;69043;RUS;2003;2003;2100;2100;2;3;0;3;0;5;0;L69043;2003;2030;2030;x
Nedorezov;69044;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69044;2003;2030;2030;x
Shivdyakov;69045;RUS;2003;2003;2100;2100;2;1;0;1;0;5;0;L69045;2003;2030;2030;x
Zartiskiy;69046;RUS;2003;2003;2100;2100;2;1;2;1;0;5;0;L69046;2003;2030;2030;x
Boriskov;69047;RUS;2003;2003;2100;2100;2;1;1;1;0;5;0;L69047;2003;2030;2030;x
Bakin;69048;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69048;2003;2030;2030;x
Sokushev;69049;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69049;2003;2030;2030;x
Shatvoryan;69050;RUS;2003;2003;2100;2100;2;2;4;2;0;5;0;L69050;2003;2030;2030;x
Shamanov;69051;RUS;2003;2003;2100;2100;2;1;0;1;0;5;0;L69051;2003;2030;2030;x
Yakushev;69052;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69052;2003;2030;2030;x
Ashurov;69053;RUS;2003;2003;2100;2100;2;3;128;3;0;5;0;L69053;2003;2030;2030;x
Belusov;69054;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69054;2003;2030;2030;x
Subbotin;69055;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69055;2003;2030;2030;x
Merkuryev;69056;RUS;2003;2003;2100;2100;2;1;0;1;0;5;0;L69056;2003;2030;2030;x
Nutrikhin;69057;RUS;2003;2003;2100;2100;2;1;0;1;0;5;0;L69057;2003;2030;2030;x
Borutsenko;69058;RUS;2003;2100;2100;2100;3;2;0;2;0;5;0;L69058;2003;2030;2030;x
Golisev;69059;RUS;2003;2100;2100;2100;3;2;16;2;0;5;0;L69059;2003;2030;2030;x
Romashko;69060;RUS;2003;2100;2100;2100;3;1;3;1;0;5;0;L69060;2003;2030;2030;x
Solovyev;69061;RUS;2003;2100;2100;2100;3;2;0;2;0;5;0;L69061;2003;2030;2030;x
Isaykin;69062;RUS;2003;2100;2100;2100;3;3;0;3;0;5;0;L69062;2003;2030;2030;x
Kopitsev;69063;RUS;2003;2100;2100;2100;3;3;4;3;0;5;0;L69063;2003;2030;2030;x
Morozof;69064;RUS;2003;2100;2100;2100;3;2;0;2;0;5;0;L69064;2003;2030;2030;x
Serov;69065;RUS;2003;2100;2100;2100;3;2;1;2;0;5;0;L69065;2003;2030;2030;x
Scrilnik;69066;RUS;2003;2100;2100;2100;3;1;0;1;0;5;0;L69066;2003;2030;2030;x
Tkatchenko;69067;RUS;2003;2100;2100;2100;3;1;0;1;0;5;0;L69067;2003;2030;2030;x
Omelchenko;69068;RUS;2003;2100;2100;2100;3;1;0;1;0;5;0;L69068;2003;2030;2030;x
Yegorov;69069;RUS;2003;2100;2100;2100;3;2;0;2;0;5;0;L69069;2003;2030;2030;x
Frolov;69070;RUS;2003;2100;2100;2100;3;3;12;3;0;5;0;L69070;2003;2030;2030;x
Khrulev;69071;RUS;2003;2100;2100;2100;3;2;16;2;0;5;0;L69071;2003;2030;2030;x
Verbitskiy;69072;RUS;2003;2100;2100;2100;3;3;2;3;0;5;0;L69072;2003;2030;2030;x
Aztibkov;69073;RUS;2003;2100;2100;2100;3;2;5;2;0;5;0;L69073;2003;2030;2030;x
Krasnikov;69074;RUS;2003;2100;2100;2100;3;1;0;1;0;5;0;L69074;2003;2030;2030;x
Lebed;69076;RUS;2003;2100;2100;2100;3;2;1;2;0;5;0;L69076;2003;2030;2030;x
Shchepak;69077;RUS;2003;2100;2100;2100;3;2;0;2;0;5;0;L69077;2003;2030;2030;x
Putilin;69078;RUS;2003;2100;2100;2100;3;1;4;1;0;5;0;L69078;2003;2030;2030;x
Savenkov;69079;RUS;2003;2100;2100;2100;3;1;2;1;0;5;0;L69079;2003;2030;2030;x
Frolov;69080;RUS;2003;2100;2100;2100;3;2;16;2;0;5;0;L69080;2003;2030;2030;x
Omelchenko;69081;RUS;2003;2100;2100;2100;3;2;0;2;0;5;0;L69081;2003;2030;2030;x
Smetana;69082;RUS;2003;2100;2100;2100;3;3;0;3;0;5;0;L69082;2003;2030;2030;x
Kabanov;69083;RUS;2003;2100;2100;2100;3;2;0;2;0;5;0;L69083;2003;2030;2030;x
Postnikov;69084;RUS;2003;2100;2100;2100;3;1;128;1;0;5;0;L69084;2003;2030;2030;x
Konnov;69085;RUS;2003;2100;2100;2100;3;2;0;2;0;5;0;L69085;2003;2030;2030;x
Nazarov;69086;RUS;2003;2100;2100;2100;3;2;0;2;0;5;0;L69086;2003;2030;2030;x
Bakhin;69087;RUS;2003;2100;2100;2100;3;1;0;1;0;5;0;L69087;2003;2030;2030;x
Sobolev;69088;RUS;2003;2100;2100;2100;3;1;1;1;0;5;0;L69088;2003;2030;2030;x
Bunin;69089;RUS;2003;2100;2100;2100;3;2;0;2;0;5;0;L69089;2003;2030;2030;x
Stolyarov;69090;RUS;2003;2100;2100;2100;3;3;0;3;0;5;0;L69090;2003;2030;2030;x
Balaliyev;69091;RUS;2003;2100;2100;2100;3;3;0;3;0;5;0;L69091;2003;2030;2030;x
Yegorov;69092;RUS;2003;2100;2100;2100;3;3;0;3;0;5;0;L69092;2003;2030;2030;x
Parasochki;69093;RUS;2003;2100;2100;2100;3;1;0;1;0;5;0;L69093;2003;2030;2030;x
Galyamov;69094;RUS;2003;2100;2100;2100;3;1;2;1;0;5;0;L69094;2003;2030;2030;x
Bulayev;69095;RUS;2003;2100;2100;2100;3;1;4;1;0;5;0;L69095;2003;2030;2030;x
Bayev;69096;RUS;2003;2100;2100;2100;3;2;128;2;0;5;0;L69096;2003;2030;2030;x
Perminov;69097;RUS;2003;2100;2100;2100;3;2;0;2;0;5;0;L69097;2003;2030;2030;x
Orlov;69098;RUS;2003;2100;2100;2100;3;2;16;2;0;5;0;L69098;2003;2030;2030;x
Kim;69099;RUS;2003;2100;2100;2100;3;3;8;3;0;5;0;L69099;2003;2030;2030;x
Studenikin;69100;RUS;2003;2100;2100;2100;3;3;0;3;0;5;0;L69100;2003;2030;2030;x
Davydov;69101;RUS;2003;2100;2100;2100;3;2;2;2;0;5;0;L69101;2003;2030;2030;x
Kharitonov;69102;RUS;2003;2100;2100;2100;3;1;0;1;0;5;0;L69102;2003;2030;2030;x
Bykov;69103;RUS;2003;2100;2100;2100;3;1;5;1;0;5;0;L69103;2003;2030;2030;x
Kocheshkov;69104;RUS;2003;2100;2100;2100;3;2;0;2;0;5;0;L69104;2003;2030;2030;x
Mulov;69105;RUS;2003;2100;2100;2100;3;3;0;3;0;5;0;L69105;2003;2030;2030;x
Gulyayev;69106;RUS;2003;2100;2100;2100;3;2;0;2;0;5;0;L69106;2003;2030;2030;x
Masorin;69107;RUS;2003;2003;2003;2003;0;2;6144;2;0;5;1;L69107;2003;2020;2020;X
Komoyedov;69108;RUS;2003;2003;2003;2003;0;3;4096;3;0;5;1;L69108;2003;2020;2020;X
Kuroyedov;69109;RUS;2003;2003;2003;2003;0;2;0;2;0;5;1;L69109;2003;2020;2020;X
Fedorov;69110;RUS;2003;2003;2003;2003;0;2;0;2;0;5;1;L69110;2003;2020;2020;X
Popov;69111;RUS;2003;2003;2003;2003;0;3;0;3;0;5;1;L69111;2003;2020;2020;X
Motsak;69112;RUS;2003;2003;2003;2003;0;1;0;1;0;5;1;L69112;2003;2020;2020;X
Komaritzin;69113;RUS;2003;2003;2003;2003;0;2;2024;2;0;5;1;L69113;2003;2020;2020;X
Zakharenko;69114;RUS;2003;2003;2003;2003;0;1;0;1;0;5;1;L69114;2003;2020;2020;X
Stepanovich;69115;RUS;2003;2003;2003;2003;0;1;4096;1;0;5;1;L69115;2003;2020;2020;X
Valuyev;69116;RUS;2003;2003;2003;2003;0;3;0;3;0;5;1;L69116;2003;2020;2020;X
Yegorov;69117;RUS;2003;2003;2003;2003;0;2;2048;2;0;5;1;L69117;2003;2020;2020;X
Lobskiy;69118;RUS;2003;2003;2003;2003;0;1;0;1;0;5;1;L69118;2003;2020;2020;X
Komoedov;69119;RUS;2003;2003;2003;2003;0;2;0;2;0;5;1;L69119;2003;2020;2020;X
Nakhimov;69120;RUS;2003;2003;2003;2003;0;3;8192;3;0;5;1;L69120;2003;2020;2020;X
Selivanov;69121;RUS;2003;2003;2003;2003;0;3;0;3;0;5;1;L69121;2003;2020;2020;X
Kravchenko;69122;RUS;2003;2003;2003;2003;0;2;0;2;0;5;1;L69122;2003;2020;2020;X
Tatarinov;69123;RUS;2003;2003;2003;2100;1;2;0;2;0;5;1;L69123;2003;2020;2020;X
Kornilov;69124;RUS;2003;2003;2003;2100;1;2;0;2;0;5;1;L69124;2003;2020;2020;X
Ananovich;69125;RUS;2003;2003;2003;2100;1;3;0;3;0;5;1;L69125;2003;2020;2020;X
Suchkov;69126;RUS;2003;2003;2003;2100;1;3;0;3;0;5;1;L69126;2003;2020;2020;X
Rogatin;69127;RUS;2003;2003;2003;2100;1;1;0;1;0;5;1;L69127;2003;2020;2020;X
Simonenko;69128;RUS;2003;2003;2003;2100;1;1;6144;1;0;5;1;L69128;2003;2020;2020;X
Abramov;69129;RUS;2003;2003;2003;2100;1;2;0;2;0;5;1;L69129;2003;2020;2020;X
Dobroskochenko;69130;RUS;2003;2003;2003;2100;1;2;2048;2;0;5;1;L69130;2003;2020;2020;X
Smolyakov;69131;RUS;2003;2003;2003;2100;1;2;0;2;0;5;1;L69131;2003;2020;2020;X
Orlov;69132;RUS;2003;2003;2003;2100;1;1;0;1;0;5;1;L69132;2003;2020;2020;X
Boyarkin;69133;RUS;2003;2003;2003;2100;1;3;0;3;0;5;1;L69133;2003;2020;2020;X
Burtsev;69134;RUS;2003;2003;2003;2100;1;1;0;1;0;5;1;L69134;2003;2020;2020;X
Konev;69135;RUS;2003;2003;2003;2100;1;2;0;2;0;5;1;L69135;2003;2020;2020;X
Nemeshcheret;69136;RUS;2003;2003;2003;2100;1;2;0;2;0;5;1;L69136;2003;2020;2020;X
Sidenko;69137;RUS;2003;2003;2003;2100;1;2;0;2;0;5;1;L69137;2003;2020;2020;X
Georgy;69138;RUS;2003;2003;2003;2100;1;2;0;2;0;5;1;L69138;2003;2020;2020;X
Mikheyev;69139;RUS;2003;2003;2003;2100;1;2;5120;2;0;5;1;L69139;2003;2020;2020;X
Verich;69140;RUS;2003;2003;2100;2100;2;3;0;3;0;5;1;L69140;2003;2020;2020;X
Panferov;69141;RUS;2003;2003;2100;2100;2;2;0;2;0;5;1;L69141;2003;2020;2020;X
Anatoli;69142;RUS;2003;2003;2100;2100;2;3;0;3;0;5;1;L69142;2003;2020;2020;X
Filatov;69143;RUS;2003;2003;2100;2100;2;3;2048;3;0;5;1;L69143;2003;2020;2020;X
Pskrebyshev;69144;RUS;2003;2003;2100;2100;2;2;0;2;0;5;1;L69144;2003;2020;2020;X
Kuznetsov;69145;RUS;2003;2003;2100;2100;2;1;0;1;0;5;1;L69145;2003;2020;2020;X
Nikolai;69146;RUS;2003;2003;2100;2100;2;2;4096;2;0;5;1;L69146;2003;2020;2020;X
Agafonov;69147;RUS;2003;2003;2100;2100;2;2;0;2;0;5;1;L69147;2003;2020;2020;X
Krysov;69148;RUS;2003;2003;2100;2100;2;2;0;2;0;5;1;L69148;2003;2020;2020;X
Baglayev;69149;RUS;2003;2003;2100;2100;2;1;4096;1;0;5;1;L69149;2003;2020;2020;X
Jurasov;69150;RUS;2003;2003;2100;2100;2;1;0;1;0;5;1;L69150;2003;2020;2020;X
Aleksin;69151;RUS;2003;2003;2100;2100;2;2;0;2;0;5;1;L69151;2003;2020;2020;X
Khandobin;69152;RUS;2003;2003;2100;2100;2;2;0;2;0;5;1;L69152;2003;2020;2020;X
Zinnatullin;69153;RUS;2003;2003;2100;2100;2;2;0;2;0;5;1;L69153;2003;2020;2020;X
Mikheev;69154;RUS;2003;2003;2100;2100;2;1;0;1;0;5;1;L69154;2003;2020;2020;X
Yaroshenko;69155;RUS;2003;2003;2100;2100;2;1;4096;1;0;5;1;L69155;2003;2020;2020;X
Gavrikov;69156;RUS;2003;2003;2100;2100;2;3;0;3;0;5;1;L69156;2003;2020;2020;X
Demyanchenko;69157;RUS;2003;2003;2100;2100;2;2;8192;2;0;5;1;L69157;2003;2020;2020;X
Konyshev;69158;RUS;2003;2003;2100;2100;2;3;4096;3;0;5;1;L69158;2003;2020;2020;X
Zverev;69159;RUS;2003;2003;2100;2100;2;1;0;1;0;5;1;L69159;2003;2020;2020;X
Lupach;69160;RUS;2003;2003;2100;2100;2;3;0;3;0;5;1;L69160;2003;2020;2020;X
Kudryavtsev;69161;RUS;2003;2003;2100;2100;2;1;0;1;0;5;1;L69161;2003;2020;2020;X
Polozhiy;69162;RUS;2003;2003;2100;2100;2;1;0;1;0;5;1;L69162;2003;2020;2020;X
Kovtunenko;69163;RUS;2003;2003;2100;2100;2;1;0;1;0;5;1;L69163;2003;2020;2020;X
Shamardin;69164;RUS;2003;2003;2100;2100;2;4;0;4;0;5;1;L69164;2003;2020;2020;X
Tregubov;69165;RUS;2003;2003;2100;2100;2;1;0;1;0;5;1;L69165;2003;2020;2020;X
Mikhalchenko;69166;RUS;2003;2003;2100;2100;2;2;0;2;0;5;1;L69166;2003;2020;2020;X
Vasyukov;69167;RUS;2003;2003;2100;2100;2;2;0;2;0;5;1;L69167;2003;2020;2020;X
Osyakin;69168;RUS;2003;2003;2100;2100;2;1;0;1;0;5;1;L69168;2003;2020;2020;X
Startsev;69169;RUS;2003;2003;2100;2100;2;2;12288;2;0;5;1;L69169;2003;2020;2020;X
Kostyrko;69170;RUS;2003;2003;2100;2100;2;1;0;1;0;5;1;L69170;2003;2020;2020;X
Tipkin;69171;RUS;2003;2003;2100;2100;2;1;0;1;0;5;1;L69171;2003;2020;2020;X
Masyagin;69172;RUS;2003;2003;2100;2100;2;2;0;2;0;5;1;L69172;2003;2020;2020;X
Khalaichev;69173;RUS;2003;2003;2100;2100;2;2;0;2;0;5;1;L69173;2003;2020;2020;X
Lev;69174;RUS;2003;2003;2100;2100;2;3;5120;3;0;5;1;L69174;2003;2020;2020;X
Kornukov;69175;RUS;2003;2003;2003;2003;0;2;4096;2;0;5;2;L69175;2003;2020;2020;X
Mikhailov;69176;RUS;2003;2003;2003;2003;0;2;16384;2;0;5;2;L69176;2003;2020;2020;X
Solotsov;69177;RUS;2003;2003;2003;2003;0;1;8192;1;0;5;2;L69177;2003;2020;2020;X
Bizhev;69178;RUS;2003;2003;2003;2100;1;3;4096;3;0;5;2;L69178;2003;2020;2020;X
Korolkov;69179;RUS;2003;2003;2003;2100;1;2;0;2;0;5;2;L69179;2003;2020;2020;X
Sinitsin;69180;RUS;2003;2003;2003;2100;1;2;0;2;0;5;2;L69180;2003;2020;2020;X
Pacloc;69181;RUS;2003;2003;2003;2100;1;1;16384;1;0;5;2;L69181;2003;2020;2020;X
Kolmakov;69182;RUS;2003;2003;2003;2100;1;1;0;1;0;5;2;L69182;2003;2020;2020;X
Deynekin;69183;RUS;2003;2003;2003;2100;1;2;131072;2;0;5;2;L69183;2003;2020;2020;X
Novogitsyn;69184;RUS;2003;2003;2003;2100;1;1;4096;1;0;5;2;L69184;2003;2020;2020;X
Yefanov;69185;RUS;2003;2003;2003;2100;1;2;0;2;0;5;2;L69185;2003;2020;2020;X
Danilkin;69186;RUS;2003;2003;2003;2100;1;2;0;2;0;5;2;L69186;2003;2020;2020;X
Kalugin;69187;RUS;2003;2003;2003;2100;1;3;131072;3;0;5;2;L69187;2003;2020;2020;X
Anatoly;69188;RUS;2003;2003;2003;2100;1;2;0;2;0;5;2;L69188;2003;2020;2020;X
Vassili;69189;RUS;2003;2003;2100;2100;2;2;32768;2;0;5;2;L69189;2003;2020;2020;X
Solntsev;69190;RUS;2003;2003;2100;2100;2;1;0;1;0;5;2;L69190;2003;2020;2020;X
Torbov;69191;RUS;2003;2003;2100;2100;2;1;0;1;0;5;2;L69191;2003;2020;2020;X
Vinodragov;69192;RUS;2003;2003;2100;2100;2;1;0;1;0;5;2;L69192;2003;2020;2020;X
Samarin;69193;RUS;2003;2003;2100;2100;2;2;0;2;0;5;2;L69193;2003;2020;2020;X
Ionov;69194;RUS;2003;2003;2100;2100;2;1;4096;1;0;5;2;L69194;2003;2020;2020;X
Dolzhenkov;69195;RUS;2003;2003;2100;2100;2;2;0;2;0;5;2;L69195;2003;2020;2020;X
Oparin;69196;RUS;2003;2003;2100;2100;2;2;0;2;0;5;2;L69196;2003;2020;2020;X
Retunskiy;69197;RUS;2003;2003;2100;2100;2;3;0;3;0;5;2;L69197;2003;2020;2020;X
Bondarev;69198;RUS;2003;2003;2100;2100;2;3;4096;3;0;5;2;L69198;2003;2020;2020;X
Denisov;69199;RUS;2003;2003;2100;2100;2;2;0;2;0;5;2;L69199;2003;2020;2020;X
Dyrdin;69200;RUS;2003;2003;2100;2100;2;2;0;2;0;5;2;L69200;2003;2020;2020;X
Popovkin;69201;RUS;2003;2003;2100;2100;2;1;4096;1;0;5;2;L69201;2003;2020;2020;X
Gorkov;69202;RUS;2003;2003;2100;2100;2;1;0;1;0;5;2;L69202;2003;2020;2020;X
Klishin;69203;RUS;2003;2003;2100;2100;2;2;135168;2;0;5;2;L69203;2003;2020;2020;X
Tregubenko;69204;RUS;2003;2003;2100;2100;2;2;20480;2;0;5;2;L69204;2003;2020;2020;X
Kutakhov;69205;RUS;2003;2003;2100;2100;2;1;0;1;0;5;2;L69205;2003;2020;2020;X
Aksenov;69206;RUS;2003;2003;2100;2100;2;1;32768;1;0;5;2;L69206;2003;2020;2020;X
Rulevskiy;69207;RUS;2003;2003;2100;2100;2;2;0;2;0;5;2;L69207;2003;2020;2020;X
Yuryev;69208;RUS;2003;2003;2100;2100;2;1;0;1;0;5;2;L69208;2003;2020;2020;X
Merukov;69209;RUS;2003;2003;2100;2100;2;1;16384;1;0;5;2;L69209;2003;2020;2020;X
Cheltsov;69210;RUS;2003;2003;2100;2100;2;3;0;3;0;5;2;L69210;2003;2020;2020;X
Danilov;69211;RUS;2003;2003;2100;2100;2;1;0;1;0;5;2;L69211;2003;2020;2020;X
Morozov;69212;RUS;2003;2003;2100;2100;2;3;0;3;0;5;2;L69212;2003;2020;2020;X
Zelin;69213;RUS;2003;2003;2100;2100;2;2;0;2;0;5;2;L69213;2003;2020;2020;X
Antoshkin;69214;RUS;2003;2003;2100;2100;2;2;4096;2;0;5;2;L69214;2003;2020;2020;X
Stytsenkov;69215;RUS;2003;2003;2100;2100;2;2;16384;2;0;5;2;L69215;2003;2020;2020;X
Barsukov;69216;RUS;2003;2003;2100;2100;2;2;0;2;0;5;2;L69216;2003;2020;2020;X
Naidenov;69217;RUS;2003;2003;2100;2100;2;1;0;1;0;5;2;L69217;2003;2020;2020;X
Chechet;69218;RUS;2003;2003;2100;2100;2;1;0;1;0;5;2;L69218;2003;2020;2020;X
Bakushev;69219;RUS;2003;2100;2100;2100;3;2;131072;2;0;5;2;L69219;2003;2020;2020;X
Yeropolov;69220;RUS;2003;2100;2100;2100;3;1;0;1;0;5;2;L69220;2003;2020;2020;X
Sadofyev;69221;RUS;2003;2100;2100;2100;3;1;4096;1;0;5;2;L69221;2003;2020;2020;X
Khvorov;69222;RUS;2003;2100;2100;2100;3;2;0;2;0;5;2;L69222;2003;2020;2020;X
Yurov;69223;RUS;2003;2100;2100;2100;3;3;0;3;0;5;2;L69223;2003;2020;2020;X
Ilyushin;69224;RUS;2003;2100;2100;2100;3;1;0;1;0;5;2;L69224;2003;2020;2020;X
Turovets;69225;RUS;2003;2100;2100;2100;3;2;0;2;0;5;2;L69225;2003;2020;2020;X
Kovrov;69226;RUS;2003;2100;2100;2100;3;4;0;4;0;5;2;L69226;2003;2020;2020;X
Srebryakov;69227;RUS;2003;2100;2100;2100;3;4;0;4;0;5;2;L69227;2003;2020;2020;X
Anisimov;69228;RUS;2003;2100;2100;2100;3;1;0;1;0;5;2;L69228;2003;2020;2020;X
Krush;69229;RUS;2003;2100;2100;2100;3;1;131072;1;0;5;2;L69229;2003;2020;2020;X
Kaigorodov;69230;RUS;2003;2100;2100;2100;3;3;16384;3;0;5;2;L69230;2003;2020;2020;X
Trofimov;69231;RUS;2003;2100;2100;2100;3;2;0;2;0;5;2;L69231;2003;2020;2020;X
Gorbas;69232;RUS;2003;2100;2100;2100;3;2;0;2;0;5;2;L69232;2003;2020;2020;X
Kulakov;69233;RUS;2003;2100;2100;2100;3;2;0;2;0;5;2;L69233;2003;2020;2020;X
Krisanov;69234;RUS;2003;2100;2100;2100;3;3;4096;3;0;5;2;L69234;2003;2020;2020;X
Dementyev;69235;RUS;2003;2100;2100;2100;3;1;0;1;0;5;2;L69235;2003;2020;2020;X
Bokhonko;69236;RUS;2003;2100;2100;2100;3;1;0;1;0;5;2;L69236;2003;2020;2020;X
Morozov;69237;RUS;2003;2100;2100;2100;3;2;0;2;0;5;2;L69237;2003;2020;2020;X
Pavlov;69238;RUS;2003;2100;2100;2100;3;2;0;2;0;5;2;L69238;2003;2020;2020;X
Kharchevskiy;69239;RUS;2003;2100;2100;2100;3;3;20480;3;0;5;2;L69239;2003;2020;2020;X
Asadulin;69240;RUS;2003;2100;2100;2100;3;1;0;1;0;5;2;L69240;2003;2020;2020;X
Zhikharev;69241;RUS;2003;2100;2100;2100;3;2;0;2;0;5;2;L69241;2003;2020;2020;X
Sakerin;69242;RUS;2003;2100;2100;2100;3;2;0;2;0;5;2;L69242;2003;2020;2020;X
Shmakov;69243;RUS;2003;2100;2100;2100;3;1;0;1;0;5;2;L69243;2003;2020;2020;X
