ARG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
2545;Minister of Armament;Néstor Pitrola;2003;2050;2050;LE;Resource Industrialist;High;Npitrola;x
2546;Foreign Minister;Gabriela Arroyo;2003;2050;2050;LE;Great Compromiser;High;Garroyo;x
2547;Chief of Army;Luis Alberto Pozzi;2003;2050;2050;NA;Armoured Spearhead Doctrine;High;Lapozzi;x
2548;Chief of Army;Daniel Camponovo;2003;2050;2050;NA;elastic defence doctrine;High;Dcamponovo;x
2549;Chief of Army;Eduardo Lugani;2005;2050;2050;NA;elastic defence doctrine;High;Elugani;x
2550;Chief of Army;Carlos Pedro Artuso;2003;2050;2050;NA;Armoured Spearhead Doctrine;High;Cartuso;x
2551;Chief of Army;Jorge Eduardo Gómez;2005;2050;2050;NA;Guns and Butter Doctrine;High;Jegomezarg;x
2552;Chief of Army;Gustavo Eduardo Lux;2003;2050;2050;NA;Static Defence Doctrine;High;Galux;x
2553;Chief of Air Force;Normando Constantino;2004;2050;2050;NA;Army Aviation Doctrine;High;Nconstantino;x
2554;Chief of Navy;Benito Rotolo;2003;2050;2050;NA;Power Projection Doctrine;High;Birotolo;x
2555;Chief of Navy;Enrique Salvador Olmedo;2003;2050;2050;NA;Decisive Naval Battle Doctrine;High;Esolmedo;x
2556;Chief of Navy;Oscar Radivoj;2004;2050;2050;NA;Indirect Approach Doctrine;High;Oradivoj;x
2557;Chief of Navy;Luis Oscar Manino;2005;2050;2050;NA;Open Seas Doctrine;High;Lomanino;x
2558;Chief of Navy;Carlos Paz;2006;2050;2050;NA;Base Control Doctrine;High;Capazarg;x
