TUR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
84520;Foreign Minister;Ali Babacan;2007;2050;2050;ML;Biased Intellectual;High;Ababacan;x
84521;Minister of Security;Besir Atalay;2003;2050;2050;ML;Silent Lawyer;High;Batalay;x
84522;Chief of Staff;Mehmet Yasar Büyükanit;2003;2050;2050;ML;School of Fire Support;High;M84508;x
84523;Chief of Army;Ilker Basburg;2003;2050;2050;NA;Decisive Battle Doctrine;High;M84517;x
84524;Chief of Army;Isik Kosaner;2003;2050;2050;NA;Decisive Battle Doctrine;High;Ikosaner;x
84525;Chief of Staff;Isik Kosaner;2005;2050;2050;NA;School of Psychology;High;Ikosaner;x
84526;Chief of Air Force;Aydogan Babaoglu;2004;2050;2050;NA;Air Superiority Doctrine;High;Ababaoglu;x
84527;Chief of Air Force;Faruk Cömert;2003;2050;2050;NA;Air Superiority Doctrine;High;M84510;x
84528;Minister of Security;Bülent Arinc;2003;2050;2050;SC;Back Stabber;High;Barinc;x
84529;Foreign Minister;Egemen Bagis;2008;2050;2050;ML;Great Compromiser;High;Ebagis;x
84530;Minister of Security;Murat Basesgioglu;2003;2050;2050;SC;Silent Lawyer;High;Mbasesgioglu;x
84531;Minister of Armament;Mehmet Zafer Caglayan;2004;2050;2050;ML;Resource Industrialist;High;Mzcaglayan;X
84532;Minister of Security;Cemil Cicek;2003;2050;2050;ML;Crime Fighter;High;Ccicek;X
84533;Foreign Minister;Mehmet Ali Irtemcelik;2004;2050;2050;ML;Great Compromiser;High;Mairtemcelik;X
84534;Head of State;Veli Kücük;2003;2050;2050;FA;Resigned Generalissimo;High;Vkucuk;X# military
84535;Foreign Minister;Murat Karayalcin;2003;2050;2050;SL;Biased Intellectual;High;Mkarayalcin;X# military
84536;Foreign Minister;Filiz Kocali;2003;2050;2050;SD;Ideological Crusader;High;Fkocali;X
84537;Foreign Minister;Osman Faruk Logoglu;2003;2050;2050;ML;Biased Intellectual;High;Oflogoglu;X
84538;Head of Government;Erkan Mumcu;2005;2050;2050;ML;Silent Workhorse;High;Emumcu;X
84539;Minister of Security;Yasar Nuri Öztürk;2003;2050;2050;SL;Silent Lawyer;High;Ynuriozturk;X
84540;Minister of Security;Mehmet Ali Sahin;2004;2050;2050;SC;Man of the People;High;Masahin;X
84541;Minister of Armament;Cem Uzan;2003;2050;2050;PA;Administrative Genius;High;Cuzan;X
84542;Head of Government;Salih Uzun;2003;2050;2050;ML;Silent Workhorse;High;Suzun;X
84543;Head of State;Metin Kaplan;2003;2050;2050;NS;Stern Imperialist;High;Mkaplan;X# islamist
84544;Head of Government;Muhsin Yazicioglu;2003;2050;2050;FA;Ambitious Union Boss;High;Myazicioglu;X# islamist
84545;Minister of Security;Kemal Kerincsiz;2003;2050;2050;FA;Prince of Terror;High;Kkerincsiz;X# military
84546;Head of Government;Hursit Tolon;2003;2050;2050;FA;Old General;High;Htolon;X# military
84547;Chief of Staff;Hursit Tolon;2003;2050;2050;FA;School of Fire Support;High;Htolon;X
84548;Chief of Army;Hursit Tolon;2003;2050;2050;FA;Armoured Spearhead Doctrine;High;Htolon;X
84549;Head of Military Intelligence;Sener Eyurgur;2003;2050;2050;FA;Logistics Specialist;High;Seruygur;X# military
84550;Chief of Army;Sener Eyurgur;2003;2050;2050;FA;Elastic Defence Doctrine;High;Seruygur;X
84551;Minister of Armament;Sener Eyurgur;2003;2050;2050;FA;Tank Proponent;High;Seruygur;X# military
84552;Foreign Minister;Devlet Bahceli;2003;2050;2050;FA;Ideological Crusader;High;M84512;X
84553;Head of Government;Deniz Baykal;2003;2050;2050;SL;Flamboyant Tough Guy;High;Dbaykal;X
