ENG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
87043;Minister of Security;John Reid;2006;2050;2050;SL;Back Stabber;High;Reid;x
87044;Minister of Security;Jacqui Smith;2007;2050;2050;SL;Silent Lawyer;High;Jacqui;x
87045;Chief of Staff;Michael Walker;2003;2050;2050;NA;School of Manoeuvre;High;M87007;x
87046;Chief of Staff;Michael Jackson;2005;2050;2050;NA;School of Psychology;High;Jackson;x
87047;Chief of Staff;Richard Dannatt;2006;2050;2050;NA;School of Fire Support;High;Dannatt;x
87048;Chief of Staff;Timothy Granville-Chapman;2005;2050;2050;NA;School of Defence;High;Granville-Chapman;x
87049;Chief of Army;Timothy Granville-Chapman;2003;2050;2050;NA;Armoured Spearhead Doctrine;High;Granville-Chapman;x
87050;Chief of Army;Richard Dannatt;2004;2050;2050;NA;Armoured Spearhead Doctrine;High;Dannatt;x
87051;Chief of Army;Redmond Watt;2005;2050;2050;NA;Decisive Battle Doctrine;High;Watt;x
87052;Head of State;David Cameron;2005;2050;2050;ML;Benevolent Gentleman;High;david_cameron;x
87053;Minister of Security;William Hague;2005;2050;2050;SC;Crime Fighter;High;William Hague;x
87054;Minister of Armament;Liam Fox;2004;2050;2050;ML;Administrative Genius;High;M87013;x
87055;Minister of Armament;James Arbuthnot;2003;2050;2050;ML;Tank Proponent;High;Arbuthnot;x
87056;Minister of Armament;Robert Ainsworth;2003;2050;2050;SL;laissez-faire capitalist;High;Ainsworth;x
87057;Chief of Staff;Graham Eric Stirrup;2006;2050;2050;NA;School of Fire Support;High;Stirrup;x
87058;Chief of Army;Jonathon Band;2003;2050;2050;NA;Decisive Battle Doctrine;High;JBand;x
87059;Chief of Air Force;Glenn Torpy;2005;2050;2050;NA;Army Aviation Doctrine;High;Gtorpy;x
87060;Chief of Air Force;Graham Eric Stirrup;2003;2050;2050;NA;Air Superiority Doctrine;High;Stirrup;x
87061;Chief of Navy;Clive Loader;2006;2050;2050;NA;Open Seas Doctrine;High;Cloader;x
87062;Chief of Navy;Adrian Johns;2007;2050;2050;NA;Power Projection Doctrine;High;Ajohns;x
87063;Head of Military Intelligence;Jonathan Evans;2005;2050;2050;ML;Industrial Specialist;High;Unknown;x
87064;Head of Government;Nick Griffin;2003;2050;2050;FA;Flamboyant Tough Guy;High;Ngriffin;x
87065;Minister of Armament;Richard Barnbrook;2003;2050;2050;FA;Resource Industrialist;High;Rbarnbrook;x
87066;Head of Military Intelligence;Simon Darby;2003;2050;2050;FA;Technical Specialist;High;Unknown;x
87067;Minister of Security;Martin Wingfield;2003;2050;2050;FA;Prince of Terror;High;Unknown;x
87068;Head of Government;Nina Temple;2003;2050;2050;LE;Backroom Backstabber;High;Unknown;x
87069;Head of State;Nina Temple;2003;2050;2050;LE;Barking Buffoon;High;Unknown;x
87070;Chief of Army;David Richards;2007;2050;2050;NA;Armoured Spearhead Doctrine;High;Drichards;x
87071;Chief of Staff;David Richards;2009;2050;2050;NA;School of Fire Support;High;Drichards;x
87072;Chief of Air Force;John Day;2003;2050;2050;NA;Air Superiority Doctrine;High;M87009;x
87073;Chief of Army;Nick Houghton;2008;2050;2050;NA;Guns and Butter Doctrine;High;Nhoughton;x
87074;Chief of Staff;Nick Houghton;2010;2050;2050;NA;School of Psychology;High;Nhoughton;x
87075;Chief of Staff;Glenn Torpy;2010;2050;2050;NA;School of Fire Support;High;Gtorpy;x
87076;Head of Military Intelligence;Alan West;2008;2050;2050;NA;Naval Intelligence Specialist;High;M87008;x
87077;Chief of Navy;James Burnell-Nugent;2005;2050;2050;NA;Decisive Naval Battle Doctrine;High;Jbnugent;x
87078;Chief of Navy;Mark Stanhope;2008;2050;2050;NA;Power Projection Doctrine;High;Mstanhope;x
87079;Chief of Navy;Paul Boissier;2009;2050;2050;NA;Indirect Approach Doctrine;High;Pboissier;x
87080;Chief of Staff;Paul Boissier;2011;2050;2050;NA;School of Psychology;High;Pboissier;x
87081;Chief of Navy;Robert Cooling;2009;2050;2050;NA;Base Control Doctrine;High;Rcooling;x
87082;Minister of Armament;Derek Twigg;2006;2050;2050;SL;Military Entrepreneur;High;Dtwigg;x
87083;Minister of Armament;Thomas Watson;2006;2050;2050;SL;Corrupt Kleptocrat;High;Twatson;x
87084;Minister of Armament;Adam Ingram;2003;2050;2050;SL;Resource Industrialist;High;Aingram;x
87085;Minister of Security;Danny Alexander;2012;2050;2050;SL;Compassionate Gentleman;High;Dalexander;x
87086;Foreign Minister;Douglas Alexander;2010;2050;2050;SL;Apologetic Clerk;High;Doualexander;x
87087;Foreign Minister;Michael Ancram;2003;2050;2050;ML;Great Compromiser;High;Mancram;x
87088;Minister of Armament;Michael Ancram;2003;2050;2050;ML;laissez-faire capitalist;High;Mancram;x
87089;Foreign Minister;Richard Benyon;2008;2050;2050;ML;Biased Intellectual;High;Rbenyon;x
87090;Minister of Armament;Edward Dawey;2005;2050;2050;SL;laissez-faire capitalist;High;Edavey;x
87091;Minister of Armament;Mark Harper;2008;2050;2050;ML;laissez-faire capitalist;High;Mharper;x
87092;Foreign Minister;Gregory Mulholland;2010;2050;2050;SL;Great Compromiser;High;Gmulholland;x
87093;Foreign Minister;James Murphy;2008;2050;2050;SL;Great Compromiser;High;Jamurphy;x
87094;Head of Government;Nick Clegg;2009;2050;2050;SL;Naive Optimist;High;Nclegg;x
