PAK;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
62526;Minister of Armament;Khawaja Muhammad Asif;2003;2050;2050;ML;Resource Industrialist;High;Kmasif;x
62527;Minister of Security;S.M. Zafar;2003;2050;2050;SC;Crime Fighter;High;Smzafar;x
62528;Minister of Security;Fazl-ur Rahman;2003;2050;2050;FA;Prince of Terror;High;Furahman;x
62529;Head of State;Qazi Hussain Ahmad;2003;2050;2050;FA;Stern Imperialist;High;Qhahmad;x
62530;Head of Government;Qazi Hussain Ahmad;2003;2050;2050;FA;Flamboyant Tough Guy;High;Qhahmad;x
62531;Foreign Minister;Qazi Hussain Ahmad;2003;2050;2050;FA;Ideological Crusader;High;Qhahmad;x
62532;Minister of Security;Khurshid Ahmad;2003;2050;2050;FA;Silent Lawyer;High;Kahmad;x
62533;Minister of Armament;Liaqat Baloch;2003;2050;2050;FA;Corrupt Kleptocrat;High;Lbaloch;x
62534;Head of State;Liaqat Baloch;2003;2050;2050;FA;Ruthless Powermonger;High;Lbaloch;x
62535;Head of Government;Liaqat Baloch;2003;2050;2050;FA;Naive Optimist;High;Lbaloch;x
62536;Chief of Army;Ashfaq Parvez Kayani;2007;2050;2050;PA;Armoured Spearhead Doctrine;High;Apkayani;x
62537;Head of Military Intelligence;Ashfaq Parvez Kayani;2003;2050;2050;PA;Political Specialist;High;Apkayani;x
62538;Chief of Staff;Ashfaq Parvez Kayani;2007;2050;2050;PA;School of Psychology;High;Apkayani;x
62539;Chief of Staff;Ehsan ul Haq;2003;2050;2050;PA;School of Fire Support;High;M62506;x
62540;Chief of Army;Ehsan ul Haq;2003;2050;2050;PA;Elastic Defence Doctrine;High;M62506;x
62541;Chief of Staff;Tariq Majid;2005;2050;2050;SC;School of Fire Support;High;Tmajid;x
62542;Chief of Army;Tariq Majid;2005;2050;2050;SC;Armoured Spearhead Doctrine;High;Tmajid;x
62543;Chief of Navy;Muhammad Afzal Tahir;2003;2050;2050;SC;Power Projection Doctrine;High;Matahir;x
62544;Chief of Staff;Muhammad Afzal Tahir;2005;2050;2050;SC;School of Psychology;High;Matahir;x
62545;Chief of Air Force;Tanvir Mahmood Ahmed;2003;2050;2050;SC;Air Superiority Doctrine;High;Tmahmed;x
62546;Chief of Army;Mohammad Yousaf;2003;2050;2050;PA;Armoured Spearhead Doctrine;High;Myousaf;x
62547;Chief of Staff;Mohammad Yousaf;2003;2050;2050;PA;School of Manoeuvre;High;Myousaf;x
62548;Chief of Army;Ahsan Saleem Hyat;2003;2050;2050;PA;Armoured Spearhead Doctrine;High;Ashyat;x
62549;Chief of Staff;Ahsan Saleem Hyat;2003;2050;2050;PA;School of Manoeuvre;High;Ashyat;x
62550;Chief of Army;Masood Aslam;2005;2050;2050;SC;Decisive Battle Doctrine;High;Maslam;x
62551;Chief of Staff;Masood Aslam;2007;2050;2050;SC;School of Psychology;High;Maslam;x
62552;Head of Military Intelligence;Nadeem Taj;2006;2050;2050;PA;Dismal Enigma;High;Ntaj;x
62553;Chief of Army;Nadeem Taj;2006;2050;2050;PA;Guns and Butter Doctrine;High;Ntaj;x
62554;Chief of Staff;Gen. Pervez Musharraf;2003;2050;2050;PA;School of Fire Support;High;Pmusharraf;x
62555;Head of Military Intelligence;Tanvir Mahmood Ahmed;2003;2050;2050;FA;Political Specialist;High;Mahmed;x
62556;Chief of Air Force;Rao Qamar Suleman;2006;2050;2050;SC;Army Aviation Doctrine;High;Rqsuleman;x
62557;Chief of Navy;Noman Bashir;2007;2050;2050;SC;Power Projection Doctrine;High;Nbashir;x
62558;Chief of Army;Muhammad Yusaf Khan;2003;2050;2050;PA;Armoured Spearhead Doctrine;High;Mykhan;x
62559;Head of Military Intelligence;Athar Abbas;2005;2050;2050;SC;Logistics Specialist;High;Aabbas;x
62560;Chief of Army;Waheed Arshad;2008;2050;2050;SC;Armoured Spearhead Doctrine;High;Warshad;x
62561;Minister of Armament;Hamid Javed;2003;2050;2050;PA;Tank Proponent;High;Unknown;x
62562;Minister of Security;Hamid Nawaz Khan;2003;2050;2050;PA;Man of the People;High;Hnkhan;x
62563;Minister of Armament;Tariq Waseem Ghazi;2003;2050;2050;SC;Infantry Proponent;High;Twghazi;x
62564;Minister of Armament;Kamran Rasool;2003;2050;2050;SC;Resource Industrialist;High;Krasool;x
62565;Minister of Armament;Syed Athar Ali;2005;2050;2050;SC;Military Entrepreneur;High;Syaali;x
62566;Head of Military Intelligence;Ahmad Shuja Pasha;2005;2050;2050;SC;Logistics Specialist;High;Aspasha;x
62567;Chief of Staff;Mohammad Mustafa Khan;2005;2050;2050;SC;School of Defence;High;Mmkhan;x
