JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
41556;Head of Government;Sadakazu Tanigaki;2009;2050;2050;ML;Silent Workhorse;High;Stanigaki;x
41557;Head of Government;Taro Aso;2006;2050;2050;ML;Flamboyant Tough Guy;High;Taso;x
41558;Head of State;Emperor Naruhito;2003;2050;2050;ML;Benevolent Gentleman;High;Naruhito;x
41559;Head of State;Emperor Naruhito;2003;2050;2050;LE;Benevolent Gentleman;High;Naruhito;x
41560;Head of State;Emperor Naruhito;2003;2050;2050;SL;Benevolent Gentleman;High;Naruhito;x
41561;Foreign Minister;Hirofumi Nakasone;2007;2050;2050;ML;Apologetic Clerk;High;Hnakasone;x
41562;Minister of Security;Kunio Hatoyama;2007;2050;2050;ML;Silent Lawyer;High;Khatoyama;x
41563;Minister of Armament;Yasukazu Hamada;2007;2050;2050;ML;laissez-faire capitalist;High;Unknown;x
41564;Head of Government;Koaoru Yosano;2003;2050;2050;ML;Corporate Suit;High;Kyosano;x
41565;Chief of Air Force;Tadashi Yoshida;2003;2050;2050;ML;Vertical Envelopment Doctrine;High;Yoshida;x
41566;Chief of Air Force;Toshio Tamogami;2003;2050;2050;SC;Air Superiority Doctrine;High;Tamogami;x
