##
## PLEASE REFER TO THE world_names FILE IN THE CONFIG FOLDER
## FOR THE CORRECT COUNTRY ID.. some of these are WRONG!!
##
AFG	Afghanistan			1 - 500
MEX	Mexico		         	53501 - 54000
U17	Moldova		         	54001 - 54500
MON	Mongolia			54501 - 55000
MTN	Montenegro			55001 - 55500
MOR	Morocco		         	55501 - 56000
MOZ	Mozambique			56001 - 56500
NAM	Namibia		         	56501 - 57000
YUG	Somaliland		        57001 - 57500
NEP	Nepal		         	57501 - 58000
HOL	Netherlands			58001 - 58500
NZL	New Zealand	         	58501 - 59000
NIC	Nicaragua			59001 - 59500
VIC	Niger		         	59501 - 60000
NIG	Nigeria		         	60001 - 60500
U09	North Korea			60501 - 61000
NOR	Norway		         	61001 - 61500
CGX	Novorossiya	         	61501 - 62000
OMN	Oman		         	62001 - 62500
PAK	Pakistan			62501 - 63000
U03	Transnistria		        63001 - 63500
PAL	Palestine			63501 - 64000
PAN	Panama		         	64001 - 64500
PRK	Papua-New Guinea		64501 - 65000
PAR	Paraguay			65001 - 65500
PRU	Peru		         	65501 - 66000
PHI	Philippines			66001 - 66500
POL	Poland		         	66501 - 67000
POR	Portugal			67001 - 67500
QUE	Qatar		         	67501 - 68000
CON	Republic of Congo		68001 - 68500
ROM	Romania		         	68501 - 69000
RUS	Russia		         	69001 - 69500
RSI	Rwanda		          	69501 - 70000
SAU	Saudi-Arabia	         	70001 - 70500
SIB	Senegal		         	70501 - 71000
SER	Serbia                  	71001 - 71500
U01	Seychelles			71501 - 72000
SIE	Sierra Leone			72001 - 72500
SIK	Singapore			72501 - 73000
SLO	Slovakia			73001 - 73500
SLV	Slovenia			73501 - 74000
ARA	Northern Cyprus	         	74001 - 74500
SOM	Somalia		         	74501 - 75000
SAF	South Africa			75001 - 75500
KOR	South Korea			75501 - 76000
SPA	Spain		         	76001 - 76500
SAR	Sri Lanka			76501 - 77000
CYN	St. Lucia			77001 - 77500
SUD	Sudan		         	77501 - 78000
SPR	Suriname			78001 - 78500
U00	Swaziland			78501 - 79000
SWE	Sweden		         	79001 - 79500
SCH	Switzerland			79501 - 80000
SYR	Syria		         	80001 - 80500
CHI	Taiwan		         	80501 - 81000
TAJ	Tajikistan			81001 - 81500
TAN	Tanzania			81501 - 82000
SIA	Thailand			82001 - 82500
TIB	Tibet		         	82501 - 83000
RHO	Togo		         	83001 - 83500
CXB	Trinidad & Tobago		83501 - 84000
TUN	Tunisia		         	84001 - 84500
TUR	Turkey		         	84501 - 85000
TRK	Turkmenistan	         	85001 - 85500
U18	Uganda		         	85501 - 86000
UKR	Ukraine		         	86001 - 86500
U14	United Arab Emirates      	86501 - 87000
ENG	United Kingdom	         	87001 - 87500
USA	United States	         	87501 - 88000
URU	Uruguay		         	88001 - 88500
UZB	Uzbekistan			88501 - 89000
VIE	Scotland	         	89001 - 89500
VEN	Venezuela			89501 - 90000
WLL	Vietnam		         	90001 - 90500
U04	Republika Srpska	        90501 - 91000
YEM	Yemen		         	91001 - 91500
U19	Zambia		         	91501 - 92000
ALI	Zimbabwe			92001 - 92500			
SOV     Quebec                          92501 - 93000
MTN     Montenegro                      93001 - 93500
CYN     Kosovo                          93501 - 94000
ALS     Abkhazia                        94001 - 94500
PRI     South Ossetia                   94501 - 95000
    

NATO events                             100001 - 100500
Shanghai Pact events                    100501 - 101000
European Union events                   101001 - 101500
Surrender events                        101501 - 102000
Flavor events                           150000 - 160000
